join,name,ye
271890,MINNEAPOLIS W-11 P-07,8
272580,RICHFIELD W-1 P-04,8
272715,ROGERS P-02,8
272845,ST LOUIS PARK W-3 P-12,8
272860,ST LOUIS PARK W-4 P-15,8
420105,MARSHALL W-2,8
550140,ROCHESTER W3 P1,8
620140,MAPLEWOOD P-02,8
620850,ST. PAUL W-3 P-02,8
621170,ST. PAUL W-5 P-02,8
621320,ST. PAUL W-6 P-04,8
621370,ST. PAUL W-6 P-09,8
621390,ST. PAUL W-6 P-11,8
621600,SHOREVIEW P-2,8
621770,WHITE BEAR LAKE W-4 P-1,8
660025,FARIBAULT P-1,8
660040,FARIBAULT P-4,8
660090,NORTHFIELD W-2 P-1,8
690100,CHISHOLM,8
690210,DULUTH P-14,8
690215,DULUTH P-15,8
690615,HIBBING W-1 P-A,8
820125,FOREST LAKE P-5,8
820270,OAK PARK HEIGHTS,8
820400,WOODBURY P-06,8
820450,WOODBURY P-16,8
020025,ANDOVER P-5,7
020030,ANDOVER P-6,7
020825,COLUMBIA HEIGHTS P-5,7
021205,COON RAPIDS W-3 P-1,7
021315,COON RAPIDS W-4 P-3,7
021415,COON RAPIDS W-5 P-3,7
021720,FRIDLEY W-2 P-4,7
022605,RAMSEY W-1 P-1,7
022805,RAMSEY W-3 P-1,7
023115,SPRING LAKE PARK P-3,7
030065,DETROIT LAKES W2 P1,7
040020,BEMIDJI W-1,7
070120,MANKATO W-05 P-06,7
100015,CARVER,7
100025,CHANHASSEN P-1B,7
100030,CHANHASSEN P-2A,7
100035,CHANHASSEN P-2B,7
120075,MONTEVIDEO P-1,7
130065,NORTH BRANCH P-B,7
140155,MOORHEAD CITY W-1 P-1A,7
140160,MOORHEAD CITY W-1 P-2,7
191240,BURNSVILLE P-04,7
191310,BURNSVILLE P-11,7
191360,BURNSVILLE P-16,7
192260,FARMINGTON P-6,7
192650,HASTINGS W-4 P-1,7
192710,INVER GROVE HTS P-01,7
192770,INVER GROVE HTS P-07,7
193040,LAKEVILLE P-14,7
193060,LAKEVILLE P-16,7
193440,MENDOTA HTS P-4,7
250125,RED WING W-2 P-1,7
250210,ZUMBROTA P-1,7
270107,BLOOMINGTON W-3 P-29,7
270125,BLOOMINGTON W-4 P-04,7
270130,BLOOMINGTON W-4 P-06,7
270325,BROOKLYN PARK W-C P-6,7
270360,BROOKLYN PARK W-E P-4A,7
270370,BROOKLYN PARK W-E P-6A,7
270455,CHAMPLIN W-2 P-01,7
270590,CRYSTAL W-4 P-02,7
270675,DEEPHAVEN P-01,7
